operation_id*,path*,method*,summary,description,tags,deprecated,external_docs_url,external_docs_description,oas_path
listPets,/pets,get,List all pets,Returns all pets from the store,pets,false,,,"paths./pets.get"
createPet,/pets,post,Create a pet,Creates a new pet in the store,pets,false,,,"paths./pets.post"
getPetById,/pets/{petId},get,Get pet by ID,Returns a single pet by ID,pets,false,,,"paths./pets/{petId}.get"
updatePet,/pets/{petId},put,Update pet,Updates an existing pet,pets,false,,,"paths./pets/{petId}.put"
deletePet,/pets/{petId},delete,Delete pet,Deletes a pet by ID,pets,false,,,"paths./pets/{petId}.delete"
getInventory,/store/inventory,get,Get inventory,Returns store inventory by status,store,false,,,"paths./store/inventory.get"
placeOrder,/store/order,post,Place order,Places an order for a pet,store,false,,,"paths./store/order.post"
getOrderById,/store/order/{orderId},get,Get order by ID,Returns order details,store,false,,,"paths./store/order/{orderId}.get"
deleteOrder,/store/order/{orderId},delete,Delete order,Deletes an order,store,false,,,"paths./store/order/{orderId}.delete"
createUser,/users,post,Create user,Creates a new user account,users,false,,,"paths./users.post"
loginUser,/users/login,get,Login user,Logs user into the system,users,false,,,"paths./users/login.get"
logoutUser,/users/logout,get,Logout user,Logs out current user,users,false,,,"paths./users/logout.get"
getUserByName,/users/{username},get,Get user by username,Returns user by username,users,false,,,"paths./users/{username}.get"
updateUser,/users/{username},put,Update user,Updates user account,users,false,,,"paths./users/{username}.put"
deleteUser,/users/{username},delete,Delete user,Deletes user account,users,false,,,"paths./users/{username}.delete"
