operation_id*,param_name*,in*,description,required,deprecated,allow_empty_value,style,explode,allow_reserved,schema_type,schema_format,schema_enum,schema_default,schema_minimum,schema_maximum,example,oas_path
getPetById,petId,path,Pet ID to retrieve,true,false,false,simple,false,false,integer,int64,,,1,,"1","paths./pets/{petId}.get.parameters[0]"
updatePet,petId,path,Pet ID to update,true,false,false,simple,false,false,integer,int64,,,1,,"1","paths./pets/{petId}.put.parameters[0]"
deletePet,petId,path,Pet ID to delete,true,false,false,simple,false,false,integer,int64,,,1,,"1","paths./pets/{petId}.delete.parameters[0]"
deletePet,api_key,header,API key for authentication,false,false,false,simple,false,false,string,,,,,,,"paths./pets/{petId}.delete.parameters[1]"
listPets,status,query,Filter by pet status,false,false,false,form,true,false,array,,"available;pending;sold",,,,"available","paths./pets.get.parameters[0]"
listPets,tags,query,Filter by tags,false,false,false,form,true,false,array,,,,,,"friendly;small","paths./pets.get.parameters[1]"
listPets,limit,query,Maximum items to return,false,false,false,form,false,false,integer,int32,,20,1,100,"20","paths./pets.get.parameters[2]"
listPets,offset,query,Items to skip,false,false,false,form,false,false,integer,int32,,0,0,,"0","paths./pets.get.parameters[3]"
getOrderById,orderId,path,Order ID,true,false,false,simple,false,false,integer,int64,,,1,10,"1","paths./store/order/{orderId}.get.parameters[0]"
deleteOrder,orderId,path,Order ID to delete,true,false,false,simple,false,false,integer,int64,,,1,,"1","paths./store/order/{orderId}.delete.parameters[0]"
loginUser,username,query,Username for login,true,false,false,form,false,false,string,,,,,,johndoe,"paths./users/login.get.parameters[0]"
loginUser,password,query,Password for login,true,false,false,form,false,false,string,password,,,,,,"paths./users/login.get.parameters[1]"
getUserByName,username,path,Username to fetch,true,false,false,simple,false,false,string,,,,,,johndoe,"paths./users/{username}.get.parameters[0]"
updateUser,username,path,Username to update,true,false,false,simple,false,false,string,,,,,,johndoe,"paths./users/{username}.put.parameters[0]"
deleteUser,username,path,Username to delete,true,false,false,simple,false,false,string,,,,,,johndoe,"paths./users/{username}.delete.parameters[0]"
