operation_id*,status_code*,description*,content_type,schema_ref,schema_type,headers,links,oas_path
listPets,200,Successful operation,application/json,@model:Pet,array,,"paths./pets.get.responses.200"
listPets,400,Invalid status value,application/json,@model:Error,,,"paths./pets.get.responses.400"
createPet,200,Pet created,application/json,@model:Pet,,,"paths./pets.post.responses.200"
createPet,405,Invalid input,application/json,@model:Error,,,"paths./pets.post.responses.405"
getPetById,200,Successful operation,application/json,@model:Pet,,,"paths./pets/{petId}.get.responses.200"
getPetById,400,Invalid ID supplied,application/json,@model:Error,,,"paths./pets/{petId}.get.responses.400"
getPetById,404,Pet not found,application/json,@model:Error,,,"paths./pets/{petId}.get.responses.404"
updatePet,200,Pet updated,application/json,@model:Pet,,,"paths./pets/{petId}.put.responses.200"
updatePet,400,Invalid ID supplied,application/json,@model:Error,,,"paths./pets/{petId}.put.responses.400"
updatePet,404,Pet not found,application/json,@model:Error,,,"paths./pets/{petId}.put.responses.404"
updatePet,405,Validation exception,application/json,@model:Error,,,"paths./pets/{petId}.put.responses.405"
deletePet,200,Pet deleted,,,,,,"paths./pets/{petId}.delete.responses.200"
deletePet,400,Invalid pet value,application/json,@model:Error,,,"paths./pets/{petId}.delete.responses.400"
getInventory,200,Successful operation,application/json,,object,,"paths./store/inventory.get.responses.200"
placeOrder,200,Order placed,application/json,@model:Order,,,"paths./store/order.post.responses.200"
placeOrder,400,Invalid order,application/json,@model:Error,,,"paths./store/order.post.responses.400"
getOrderById,200,Successful operation,application/json,@model:Order,,,"paths./store/order/{orderId}.get.responses.200"
getOrderById,400,Invalid ID supplied,application/json,@model:Error,,,"paths./store/order/{orderId}.get.responses.400"
getOrderById,404,Order not found,application/json,@model:Error,,,"paths./store/order/{orderId}.get.responses.404"
deleteOrder,200,Order deleted,,,,,,"paths./store/order/{orderId}.delete.responses.200"
deleteOrder,400,Invalid ID supplied,application/json,@model:Error,,,"paths./store/order/{orderId}.delete.responses.400"
deleteOrder,404,Order not found,application/json,@model:Error,,,"paths./store/order/{orderId}.delete.responses.404"
createUser,200,User created,application/json,@model:User,,,"paths./users.post.responses.200"
createUser,default,Unexpected error,application/json,@model:Error,,,"paths./users.post.responses.default"
loginUser,200,Login successful,application/json,,string,X-Rate-Limit;X-Expires-After,,"paths./users/login.get.responses.200"
loginUser,400,Invalid username/password,application/json,@model:Error,,,"paths./users/login.get.responses.400"
logoutUser,200,Logout successful,,,,,,"paths./users/logout.get.responses.200"
logoutUser,default,Unexpected error,application/json,@model:Error,,,"paths./users/logout.get.responses.default"
getUserByName,200,Successful operation,application/json,@model:User,,,"paths./users/{username}.get.responses.200"
getUserByName,400,Invalid username supplied,application/json,@model:Error,,,"paths./users/{username}.get.responses.400"
getUserByName,404,User not found,application/json,@model:Error,,,"paths./users/{username}.get.responses.404"
updateUser,200,User updated,application/json,@model:User,,,"paths./users/{username}.put.responses.200"
updateUser,400,Invalid user supplied,application/json,@model:Error,,,"paths./users/{username}.put.responses.400"
updateUser,404,User not found,application/json,@model:Error,,,"paths./users/{username}.put.responses.404"
deleteUser,200,User deleted,,,,,,"paths./users/{username}.delete.responses.200"
deleteUser,400,Invalid username supplied,application/json,@model:Error,,,"paths./users/{username}.delete.responses.400"
deleteUser,404,User not found,application/json,@model:Error,,,"paths./users/{username}.delete.responses.404"
